Slab_width,TE0,TE1,TE2,TE3,TE4,TM0,,,
0.7,2.591,1.7775,,,,1.3465,,,
0.75,2.6071,1.8644,,,,1.3575,,,Mode crossing
0.8,2.6195,1.9387,1.0089,,,1.3645,,,TM distorted
0.85,2.6292,2,1.0424,,,1.369,,,
0.9,2.63,2.0499,1.108,,,1.372,,,
0.95,2.6419,2.0898,1.2006,,,1.3741,,,
1,2.6458,2.1208,1.3031,,,1.3761,,,
1.05,2.6486,2.1458,1.4002,,,1.3774,,,
1.1,2.65,2.1669,1.4862,,,1.3782,,,
1.15,2.6525,2.1833,1.5591,,,1.3792,,,
1.2,2.6538,2.1969,1.6212,1.021,,1.3794,,,
1.25,2.6547,2.2075,1.6736,1.0542,,1.3802,,,
1.3,2.6552,2.2157,1.7179,1.1054,,1.381,,,
1.35,2.6557,2.2233,1.7565,1.1698,1.0023,1.3813,,,
1.4,2.6562,2.2295,1.7898,1.2387,1.0055,1.3822,,,
1.45,2.6565,2.2345,1.8184,1.3056,1.0095,1.3837,,,
1.5,2.6565,2.2385,1.8441,1.361,1.0141,1.3934,,,
1.55,2.6568,2.242,1.867,1.4411,1.0216,1.3774,,,
1.6,2.6568,2.2447,1.887,1.4941,1.0329,1.3793,,,
1.65,2.6568,2.247,1.9047,1.5417,1.0511,1.3799,,,
1.7,2.6566,2.2489,1.9206,1.5857,1.0808,1.3803,,,
1.75,2.6573,2.2516,1.936,1.6276,1.125,1.3804,,,
1.8,2.657,2.2523,1.9487,1.6653,1.1797,1.3809,,,
1.85,2.657,2.2538,1.9607,1.6986,1.2371,1.3811,,,
1.9,2.657,2.2552,1.9719,1.7283,1.293,1.3808,,,
1.95,2.6572,2.2557,1.9818,1.7565,1.3469,1.3813,,,
2,2.6567,2.2554,1.9904,1.7824,1.3984,1.3817,,,
